,Date,HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HTR,FTR,WHH,WHD,WHA,diff_shots,diff_on_target
208,2001-01-01,15,16,7.0,9.0,3.0,6.0,5.0,11.0,2,H,1.83,3.3,3.6,-2.0,-3.0
213,2001-01-01,35,20,16.0,9.0,9.0,3.0,4.0,3.0,1,H,1.83,3.3,3.6,7.0,6.0
212,2001-01-01,25,40,25.0,9.0,12.0,5.0,8.0,2.0,2,H,1.28,4.5,8.0,16.0,7.0
211,2001-01-01,23,33,16.0,7.0,8.0,3.0,15.0,2.0,1,H,1.3,4.0,9.5,9.0,5.0
210,2001-01-01,22,7,9.0,8.0,3.0,4.0,5.0,3.0,0,A,1.4,3.6,7.5,1.0,-1.0
209,2001-01-01,21,26,16.0,5.0,5.0,3.0,5.0,1.0,0,D,1.57,3.25,5.5,11.0,2.0
207,2001-01-01,13,24,19.0,10.0,9.0,5.0,12.0,8.0,1,D,1.8,3.3,3.75,9.0,4.0
206,2001-01-01,12,1,13.0,7.0,5.0,3.0,2.0,5.0,2,H,1.61,3.25,5.0,6.0,2.0
205,2001-01-01,11,0,9.0,10.0,4.0,5.0,6.0,12.0,2,H,3.4,3.25,1.9,-1.0,-1.0
576,2002-01-01,23,5,15.0,7.0,5.0,6.0,4.0,8.0,1,D,1.25,5.0,8.0,8.0,-1.0
577,2002-01-01,26,16,10.0,11.0,4.0,3.0,5.0,6.0,1,H,1.83,3.2,3.75,-1.0,1.0
574,2002-01-01,12,33,13.0,8.0,6.0,5.0,2.0,6.0,2,A,1.33,4.0,8.0,5.0,1.0
573,2002-01-01,11,20,13.0,6.0,8.0,4.0,11.0,4.0,1,H,2.1,3.2,3.0,7.0,4.0
579,2002-01-01,37,3,12.0,11.0,7.0,7.0,7.0,9.0,2,H,1.57,3.3,5.5,1.0,0.0
575,2002-01-01,21,40,12.0,9.0,11.0,4.0,8.0,6.0,2,H,1.5,3.4,6.0,3.0,7.0
578,2002-01-01,35,1,18.0,8.0,11.0,4.0,7.0,0.0,1,D,2.1,2.87,3.3,10.0,7.0
5420,2007-01-01,31,40,18.0,9.0,9.0,3.0,3.0,3.0,2,H,1.9,3.25,3.4,9.0,6.0
5421,2007-01-01,41,3,14.0,8.0,5.0,5.0,5.0,5.0,0,A,2.2,3.2,2.8,6.0,0.0
5419,2007-01-01,29,37,15.0,9.0,9.0,7.0,10.0,6.0,2,D,2.3,3.2,2.62,6.0,2.0
5417,2007-01-01,26,32,13.0,6.0,7.0,3.0,7.0,3.0,1,H,1.8,3.3,3.75,7.0,4.0
5418,2007-01-01,27,25,8.0,20.0,8.0,8.0,1.0,10.0,1,D,6.0,3.4,1.5,-12.0,0.0
5415,2007-01-01,23,5,19.0,1.0,9.0,0.0,8.0,8.0,1,H,1.57,3.5,5.0,18.0,9.0
5414,2007-01-01,17,38,16.0,13.0,4.0,5.0,6.0,7.0,1,D,1.66,3.3,4.5,3.0,-1.0
5416,2007-01-01,24,16,11.0,15.0,7.0,5.0,4.0,6.0,1,H,2.2,3.2,2.8,-4.0,2.0
5682,2008-01-01,26,16,7.0,5.0,4.0,3.0,5.0,6.0,1,A,2.62,3.2,2.3,2.0,1.0
5678,2008-01-01,0,40,21.0,15.0,13.0,7.0,5.0,7.0,2,H,1.29,4.5,8.0,6.0,6.0
5681,2008-01-01,25,2,18.0,11.0,13.0,4.0,2.0,0.0,2,H,1.17,5.0,15.0,7.0,9.0
5683,2008-01-01,31,29,9.0,18.0,5.0,13.0,5.0,4.0,0,A,2.6,3.1,2.4,-9.0,-8.0
5680,2008-01-01,17,12,5.0,11.0,2.0,5.0,4.0,8.0,2,A,6.0,3.4,1.5,-6.0,-3.0
5679,2008-01-01,1,37,14.0,9.0,4.0,6.0,8.0,2.0,2,H,2.2,3.2,2.8,5.0,-2.0
942,2011-01-01,2,0,2.0,18.0,1.0,11.0,4.0,5.0,0,A,5.0,3.75,1.67,-16.0,-10.0
943,2011-01-01,23,5,16.0,10.0,7.0,4.0,7.0,4.0,0,H,1.73,3.5,5.0,6.0,3.0
944,2011-01-01,24,4,15.0,8.0,4.0,6.0,10.0,4.0,2,H,1.3,5.0,11.0,7.0,-2.0
945,2011-01-01,34,16,7.0,15.0,3.0,10.0,1.0,5.0,2,H,2.7,3.1,2.75,-8.0,-7.0
946,2011-01-01,35,3,13.0,11.0,7.0,3.0,3.0,2.0,2,H,1.85,3.4,4.4,2.0,4.0
947,2011-01-01,37,17,13.0,12.0,9.0,4.0,5.0,1.0,2,H,1.44,4.33,7.0,1.0,5.0
948,2011-01-01,39,25,17.0,5.0,8.0,3.0,4.0,5.0,1,A,6.0,4.0,1.53,12.0,5.0
949,2011-01-01,40,42,11.0,15.0,6.0,10.0,5.0,10.0,1,H,2.0,3.4,3.75,-4.0,-4.0
1320,2012-01-01,39,16,10.0,13.0,2.0,8.0,2.0,7.0,1,A,2.62,3.2,2.7,-3.0,-6.0
1319,2012-01-01,35,24,8.0,25.0,5.0,11.0,1.0,10.0,1,H,6.0,3.75,1.57,-17.0,-6.0
1716,2013-01-01,41,25,7.0,14.0,3.0,9.0,1.0,6.0,0,A,6.0,3.75,1.57,-7.0,-6.0
1715,2013-01-01,40,28,14.0,9.0,8.0,3.0,11.0,3.0,2,H,2.15,3.1,3.6,5.0,5.0
1714,2013-01-01,39,17,17.0,10.0,10.0,5.0,10.0,5.0,0,A,2.0,3.3,3.75,7.0,5.0
1713,2013-01-01,37,31,30.0,7.0,20.0,4.0,12.0,3.0,1,H,1.36,4.33,10.0,23.0,16.0
1712,2013-01-01,36,1,23.0,8.0,13.0,6.0,3.0,2.0,1,D,1.6,3.6,6.0,15.0,7.0
1711,2013-01-01,33,0,9.0,6.0,6.0,4.0,3.0,3.0,1,D,5.0,3.6,1.7,3.0,2.0
1710,2013-01-01,24,34,17.0,4.0,9.0,3.0,7.0,2.0,2,H,1.33,4.33,12.0,13.0,6.0
2091,2014-01-01,39,27,13.0,9.0,4.0,3.0,3.0,4.0,1,H,2.38,3.3,2.75,4.0,1.0
2087,2014-01-01,33,12,12.0,11.0,2.0,5.0,6.0,8.0,1,A,3.5,3.3,2.0,1.0,-3.0
2090,2014-01-01,36,24,15.0,14.0,4.0,4.0,8.0,6.0,1,A,5.0,4.2,1.53,1.0,0.0
2086,2014-01-01,25,37,16.0,9.0,6.0,4.0,13.0,2.0,0,A,1.8,3.6,4.8,7.0,2.0
2084,2014-01-01,17,40,30.0,11.0,11.0,3.0,12.0,4.0,1,H,2.38,3.3,2.75,19.0,8.0
2085,2014-01-01,23,19,17.0,10.0,6.0,0.0,3.0,4.0,2,H,1.22,6.0,9.5,7.0,6.0
2082,2014-01-01,0,10,28.0,8.0,6.0,2.0,12.0,2.0,1,H,1.18,6.0,13.0,20.0,4.0
2088,2014-01-01,34,16,10.0,16.0,4.0,4.0,2.0,5.0,1,D,3.6,3.2,2.0,-6.0,0.0
2089,2014-01-01,35,1,17.0,13.0,1.0,5.0,10.0,2.0,0,A,2.05,3.25,3.4,4.0,-4.0
2083,2014-01-01,14,28,13.0,8.0,4.0,5.0,9.0,4.0,1,D,2.3,3.0,3.1,5.0,-1.0
2470,2015-01-01,37,12,11.0,19.0,8.0,7.0,5.0,3.0,2,H,5.0,3.25,1.8,-8.0,1.0
2469,2015-01-01,34,25,11.0,6.0,2.0,2.0,11.0,7.0,1,D,4.0,3.3,1.95,5.0,0.0
2468,2015-01-01,33,0,13.0,11.0,6.0,6.0,2.0,7.0,2,H,3.0,3.0,2.5,2.0,0.0
2466,2015-01-01,27,9,10.0,15.0,4.0,4.0,5.0,5.0,2,D,1.73,3.8,4.5,-5.0,0.0
2465,2015-01-01,24,35,32.0,4.0,12.0,4.0,10.0,4.0,1,H,1.25,5.0,15.0,28.0,8.0
2464,2015-01-01,23,22,18.0,16.0,6.0,3.0,4.0,5.0,2,D,1.4,4.5,8.0,2.0,3.0
2463,2015-01-01,19,16,14.0,9.0,5.0,3.0,4.0,8.0,2,H,3.2,3.2,2.3,5.0,2.0
2462,2015-01-01,1,14,14.0,6.0,3.0,0.0,5.0,2.0,1,D,2.4,3.1,3.1,8.0,3.0
2471,2015-01-01,40,39,8.0,14.0,3.0,3.0,0.0,1.0,1,D,1.85,3.3,4.5,-6.0,0.0
2467,2015-01-01,30,36,24.0,25.0,6.0,6.0,4.0,9.0,2,D,3.0,3.0,2.5,-1.0,0.0
3220,2017-01-01,38,37,6.0,19.0,2.0,6.0,0.0,3.0,0,A,5.5,3.6,1.73,-13.0,-4.0
3219,2017-01-01,0,14,22.0,7.0,7.0,4.0,8.0,4.0,2,H,1.33,5.5,9.0,15.0,3.0
4670,2003-01-01,21,2,12.0,9.0,6.0,5.0,5.0,8.0,2,H,1.57,3.5,5.0,3.0,1.0
4673,2003-01-01,33,37,12.0,11.0,6.0,7.0,5.0,5.0,1,H,2.1,3.2,3.0,1.0,-1.0
4672,2003-01-01,27,23,8.0,5.0,5.0,4.0,4.0,4.0,2,H,2.3,3.1,2.75,3.0,1.0
4671,2003-01-01,25,35,31.0,4.0,18.0,1.0,10.0,2.0,0,H,1.2,5.5,9.0,27.0,17.0
4669,2003-01-01,16,24,12.0,9.0,5.0,2.0,4.0,1.0,1,D,1.9,3.25,3.4,3.0,3.0
4668,2003-01-01,3,26,17.0,7.0,10.0,3.0,5.0,2.0,1,H,1.83,3.3,3.6,10.0,7.0
4667,2003-01-01,1,5,12.0,9.0,7.0,4.0,9.0,8.0,2,H,1.72,3.25,4.2,3.0,3.0
4666,2003-01-01,0,12,7.0,8.0,7.0,7.0,2.0,7.0,2,H,1.72,3.25,4.2,-1.0,0.0
3620,2018-01-01,8,6,15.0,26.0,6.0,8.0,5.0,12.0,1,D,2.4,3.1,3.3,-11.0,-2.0
3621,2018-01-01,9,23,13.0,19.0,4.0,5.0,3.0,9.0,1,A,7.0,4.33,1.5,-6.0,-1.0
3622,2018-01-01,16,25,12.0,21.0,0.0,6.0,6.0,6.0,1,A,5.5,3.4,1.75,-9.0,-6.0
3623,2018-01-01,22,18,11.0,6.0,5.0,1.0,4.0,1.0,1,H,1.67,3.75,5.5,5.0,4.0
3624,2018-01-01,34,27,11.0,14.0,4.0,6.0,10.0,5.0,1,A,2.3,3.2,3.4,-3.0,-2.0
3991,2019-01-01,0,17,16.0,9.0,9.0,4.0,8.0,3.0,2,H,1.32,5.25,9.5,7.0,5.0
3992,2019-01-01,10,37,6.0,13.0,3.0,4.0,5.0,3.0,0,A,7.0,4.4,1.47,-7.0,-1.0
3993,2019-01-01,16,22,17.0,8.0,2.0,4.0,6.0,5.0,1,A,2.0,3.4,3.9,9.0,-2.0
4377,2020-01-01,40,6,14.0,3.0,7.0,2.0,9.0,2.0,2,H,1.91,3.8,3.75,11.0,5.0
4372,2020-01-01,27,22,5.0,17.0,2.0,10.0,4.0,5.0,0,A,5.25,3.9,1.65,-12.0,-8.0
4371,2020-01-01,9,1,20.0,11.0,1.0,6.0,8.0,4.0,0,A,1.78,3.8,4.4,9.0,-5.0
4370,2020-01-01,8,12,16.0,16.0,5.0,5.0,5.0,3.0,0,D,3.7,3.6,2.0,0.0,0.0
4373,2020-01-01,33,37,12.0,11.0,3.0,5.0,6.0,9.0,2,H,3.3,3.5,2.15,1.0,-2.0
4374,2020-01-01,38,42,9.0,16.0,3.0,4.0,4.0,7.0,2,H,3.2,3.3,2.3,-7.0,-1.0
4375,2020-01-01,24,16,16.0,7.0,7.0,2.0,3.0,6.0,1,H,1.27,6.0,11.0,9.0,5.0
4378,2020-01-01,0,25,10.0,10.0,4.0,4.0,1.0,4.0,2,H,2.55,3.6,2.6,0.0,0.0
4376,2020-01-01,28,14,15.0,12.0,4.0,3.0,2.0,5.0,2,D,2.55,3.4,2.75,3.0,1.0
5059,2006-01-02,29,5,13.0,8.0,5.0,2.0,6.0,4.0,1,D,2.75,3.2,2.25,5.0,3.0
5056,2006-01-02,3,25,7.0,12.0,4.0,6.0,2.0,2.0,2,H,4.0,3.1,1.8,-5.0,-2.0
5054,2006-01-02,0,40,16.0,4.0,10.0,4.0,12.0,2.0,0,A,1.28,4.5,8.0,12.0,6.0
5057,2006-01-02,23,2,24.0,3.0,10.0,2.0,11.0,3.0,1,D,1.28,4.5,8.0,21.0,8.0
5055,2006-01-02,1,12,6.0,11.0,2.0,5.0,5.0,4.0,0,D,7.0,3.75,1.4,-5.0,-3.0
5058,2006-01-02,24,27,14.0,4.0,8.0,1.0,3.0,3.0,2,H,1.83,3.2,3.75,10.0,7.0
6095,2009-01-02,27,35,15.0,16.0,10.0,9.0,4.0,3.0,0,D,2.38,3.25,3.0,-1.0,1.0
6094,2009-01-02,23,12,21.0,4.0,15.0,1.0,12.0,1.0,1,H,2.4,3.1,3.1,17.0,14.0
6467,2010-01-02,35,34,6.0,4.0,5.0,3.0,7.0,3.0,1,D,2.0,3.3,3.75,2.0,2.0
986,2011-01-02,0,16,19.0,4.0,10.0,4.0,5.0,7.0,0,H,1.5,4.0,7.0,15.0,6.0
987,2011-01-02,25,1,18.0,9.0,11.0,5.0,5.0,5.0,2,H,1.33,5.0,8.5,9.0,6.0
989,2011-01-02,39,41,21.0,11.0,10.0,7.0,8.0,5.0,0,D,1.75,3.75,4.5,10.0,3.0
988,2011-01-02,35,12,4.0,21.0,3.0,14.0,0.0,6.0,1,A,5.5,3.6,1.67,-17.0,-11.0
1359,2012-01-02,5,0,14.0,16.0,8.0,7.0,6.0,6.0,1,D,5.0,3.5,1.73,-2.0,1.0
1358,2012-01-02,3,27,23.0,9.0,12.0,5.0,14.0,2.0,0,A,2.62,3.2,2.7,14.0,7.0
1357,2012-01-02,1,30,23.0,3.0,15.0,3.0,9.0,3.0,0,D,1.85,3.3,4.5,20.0,12.0
1360,2012-01-02,17,39,13.0,15.0,6.0,11.0,8.0,7.0,1,D,1.91,3.3,4.2,-2.0,-5.0
1361,2012-01-02,35,28,10.0,12.0,6.0,4.0,3.0,6.0,2,H,1.85,3.3,4.5,-2.0,2.0
2124,2014-01-02,17,33,8.0,17.0,4.0,5.0,4.0,5.0,1,A,3.3,3.2,2.25,-9.0,-1.0
2122,2014-01-02,10,28,14.0,27.0,5.0,6.0,7.0,14.0,0,H,2.3,3.1,3.3,-13.0,-1.0
2123,2014-01-02,16,1,13.0,4.0,6.0,1.0,13.0,1.0,0,H,1.53,3.75,7.0,9.0,5.0
2127,2014-01-02,34,25,13.0,19.0,6.0,4.0,7.0,10.0,2,H,7.0,3.5,1.57,-6.0,2.0
2128,2014-01-02,40,36,11.0,20.0,4.0,0.0,8.0,11.0,2,H,2.8,3.1,2.62,-9.0,4.0
2126,2014-01-02,27,35,28.0,16.0,10.0,5.0,7.0,3.0,0,A,1.95,3.3,4.0,12.0,5.0
2125,2014-01-02,19,37,9.0,19.0,4.0,3.0,4.0,10.0,2,D,4.0,3.1,2.05,-10.0,1.0
2501,2015-01-02,33,36,15.0,6.0,6.0,1.0,9.0,0.0,1,A,1.62,3.6,6.0,9.0,5.0
2500,2015-01-02,0,1,13.0,9.0,8.0,2.0,7.0,7.0,2,H,1.29,5.0,12.0,4.0,6.0
3259,2017-01-02,34,16,14.0,14.0,7.0,5.0,5.0,5.0,1,D,2.88,3.25,2.62,0.0,2.0
3260,2017-01-02,40,24,6.0,11.0,1.0,4.0,2.0,4.0,0,A,6.0,4.2,1.57,-5.0,-3.0
3258,2017-01-02,25,19,15.0,6.0,6.0,2.0,7.0,1.0,1,D,1.2,7.0,17.0,9.0,4.0
4705,2003-01-02,0,17,11.0,3.0,6.0,1.0,6.0,4.0,1,H,1.25,5.0,8.0,8.0,5.0
4706,2003-01-02,5,2,15.0,11.0,10.0,6.0,7.0,4.0,1,H,2.2,3.0,3.0,4.0,4.0
4707,2003-01-02,12,37,16.0,8.0,8.0,5.0,11.0,3.0,1,D,1.66,3.3,4.5,8.0,3.0
4709,2003-01-02,24,39,12.0,9.0,7.0,5.0,6.0,6.0,1,A,1.44,3.6,6.5,3.0,2.0
4708,2003-01-02,16,21,13.0,8.0,5.0,2.0,6.0,4.0,1,H,1.83,3.3,3.6,5.0,3.0
4710,2003-01-02,33,25,9.0,13.0,4.0,8.0,7.0,6.0,0,A,3.75,3.3,1.8,-4.0,-4.0
4711,2003-01-02,35,11,13.0,14.0,5.0,4.0,8.0,3.0,0,A,2.5,3.1,2.5,-1.0,1.0
4418,2020-01-02,25,42,15.0,14.0,5.0,3.0,4.0,6.0,1,D,2.25,3.2,3.4,1.0,2.0
4417,2020-01-02,40,8,12.0,19.0,6.0,6.0,4.0,6.0,2,D,2.55,3.3,2.8,-7.0,0.0
4411,2020-01-02,22,12,14.0,7.0,4.0,3.0,4.0,6.0,1,D,2.5,3.6,2.7,7.0,1.0
4412,2020-01-02,6,1,16.0,18.0,6.0,5.0,1.0,8.0,2,H,2.15,3.5,3.4,-2.0,1.0
4415,2020-01-02,27,28,15.0,19.0,5.0,4.0,8.0,12.0,1,D,2.2,3.4,3.3,-4.0,1.0
4414,2020-01-02,23,33,16.0,17.0,9.0,4.0,6.0,11.0,1,H,1.27,5.8,11.0,-1.0,5.0
4413,2020-01-02,14,32,13.0,10.0,3.0,3.0,9.0,5.0,1,A,3.1,3.1,2.5,3.0,0.0
4416,2020-01-02,38,16,11.0,12.0,2.0,5.0,4.0,4.0,1,A,2.75,3.25,2.62,-1.0,-3.0
5752,2008-01-03,26,31,10.0,6.0,5.0,3.0,7.0,2.0,1,A,1.8,3.25,3.8,4.0,2.0
5750,2008-01-03,17,25,13.0,16.0,7.0,10.0,3.0,6.0,0,A,8.0,4.0,1.33,-3.0,-3.0
5749,2008-01-03,15,35,8.0,13.0,4.0,5.0,4.0,5.0,1,D,2.75,3.2,2.25,-5.0,-1.0
5748,2008-01-03,2,37,13.0,19.0,10.0,10.0,5.0,6.0,2,H,3.4,3.25,1.91,-6.0,0.0
5753,2008-01-03,27,3,17.0,14.0,9.0,6.0,14.0,7.0,1,A,2.38,3.1,2.62,3.0,3.0
5754,2008-01-03,40,12,9.0,13.0,7.0,8.0,6.0,1.0,0,A,4.33,3.2,1.73,-4.0,-1.0
5747,2008-01-03,0,1,16.0,5.0,7.0,4.0,8.0,7.0,0,D,1.5,3.4,6.0,11.0,3.0
5751,2008-01-03,24,41,12.0,8.0,6.0,5.0,4.0,1.0,1,D,1.62,3.3,5.0,4.0,1.0
6125,2009-01-03,40,24,13.0,9.0,9.0,2.0,4.0,7.0,1,H,2.4,3.3,2.9,4.0,7.0
6124,2009-01-03,19,3,9.0,8.0,5.0,6.0,6.0,4.0,0,A,2.88,3.2,2.5,1.0,-1.0
6122,2009-01-03,1,34,11.0,7.0,7.0,3.0,6.0,6.0,2,D,1.4,4.33,8.5,4.0,4.0
6123,2009-01-03,5,27,10.0,19.0,6.0,11.0,1.0,10.0,1,H,2.0,3.3,3.8,-9.0,-5.0
1028,2011-01-03,12,25,17.0,12.0,11.0,7.0,10.0,2.0,0,H,2.2,3.25,3.3,5.0,4.0
2161,2014-01-03,17,12,7.0,17.0,3.0,8.0,5.0,4.0,1,A,8.0,4.0,1.44,-10.0,-5.0
2162,2014-01-03,19,27,13.0,17.0,3.0,7.0,6.0,3.0,0,A,2.4,3.1,3.1,-4.0,-4.0
2160,2014-01-03,16,40,22.0,6.0,3.0,1.0,11.0,5.0,1,H,1.57,3.5,7.0,16.0,2.0
2164,2014-01-03,34,0,8.0,10.0,4.0,2.0,3.0,4.0,1,H,6.0,3.1,1.73,-2.0,2.0
2163,2014-01-03,33,23,13.0,12.0,2.0,5.0,3.0,6.0,0,A,3.75,3.1,2.1,1.0,-3.0
2539,2015-01-03,23,24,11.0,8.0,5.0,1.0,3.0,0.0,1,H,3.1,3.1,2.4,3.0,4.0
2538,2015-01-03,0,16,17.0,8.0,4.0,2.0,8.0,9.0,2,H,1.57,3.75,6.5,9.0,2.0
2920,2016-01-03,6,33,9.0,6.0,4.0,1.0,10.0,2.0,2,H,2.88,3.1,2.62,3.0,3.0
2922,2016-01-03,28,12,13.0,10.0,2.0,2.0,4.0,4.0,0,A,5.5,3.6,1.67,3.0,0.0
2921,2016-01-03,22,39,22.0,11.0,5.0,3.0,11.0,3.0,2,D,1.7,3.5,5.5,11.0,2.0
2923,2016-01-03,35,14,17.0,13.0,6.0,5.0,4.0,5.0,2,D,2.5,3.1,3.0,4.0,1.0
2919,2016-01-03,1,16,14.0,10.0,5.0,7.0,9.0,8.0,0,A,4.5,3.4,1.85,4.0,-2.0
4741,2003-01-03,40,37,10.0,9.0,8.0,3.0,8.0,3.0,2,H,2.4,3.1,2.6,1.0,5.0
4740,2003-01-03,33,39,15.0,12.0,11.0,3.0,9.0,3.0,2,H,1.53,3.4,5.5,3.0,8.0
4739,2003-01-03,27,12,5.0,8.0,2.0,5.0,5.0,7.0,1,H,2.0,3.2,3.2,-3.0,-3.0
4738,2003-01-03,26,16,6.0,11.0,2.0,5.0,4.0,2.0,0,D,2.25,3.2,2.75,-5.0,-3.0
4737,2003-01-03,17,35,11.0,15.0,4.0,6.0,8.0,11.0,1,H,1.57,3.5,5.0,-4.0,-2.0
4736,2003-01-03,3,24,10.0,12.0,7.0,6.0,2.0,4.0,2,H,1.9,3.2,3.5,-2.0,1.0
3690,2018-01-03,0,24,10.0,9.0,5.0,5.0,6.0,1.0,0,A,4.5,3.8,1.73,1.0,0.0
4448,2020-01-03,37,42,13.0,14.0,5.0,4.0,4.0,5.0,2,A,2.45,3.1,3.1,-1.0,1.0
4447,2020-01-03,16,25,16.0,14.0,5.0,5.0,13.0,8.0,1,D,2.55,3.3,2.8,2.0,0.0
304,2001-01-04,11,22,16.0,5.0,9.0,1.0,6.0,2.0,2,H,2.0,3.2,3.2,11.0,8.0
694,2002-01-04,11,0,5.0,12.0,5.0,8.0,9.0,2.0,0,A,5.0,3.5,1.57,-7.0,-3.0
697,2002-01-04,17,40,10.0,3.0,2.0,2.0,7.0,1.0,0,A,2.25,3.1,2.8,7.0,0.0
695,2002-01-04,15,26,7.0,6.0,4.0,1.0,7.0,7.0,0,A,2.2,3.1,2.87,1.0,3.0
699,2002-01-04,35,22,12.0,9.0,9.0,7.0,5.0,1.0,2,H,1.5,3.6,5.5,3.0,2.0
698,2002-01-04,20,12,9.0,7.0,5.0,2.0,6.0,8.0,1,D,3.2,3.2,2.0,2.0,3.0
696,2002-01-04,16,5,10.0,12.0,5.0,3.0,5.0,5.0,2,H,1.8,3.3,3.75,-2.0,2.0
693,2002-01-04,3,33,7.0,5.0,4.0,2.0,5.0,2.0,2,H,2.0,3.2,3.2,2.0,2.0
700,2002-01-04,37,21,8.0,17.0,5.0,8.0,1.0,7.0,2,H,2.5,3.1,2.5,-9.0,-3.0
5137,2006-01-04,16,35,16.0,16.0,8.0,8.0,4.0,4.0,2,D,1.33,4.0,8.0,0.0,0.0
5136,2006-01-04,5,25,7.0,14.0,2.0,10.0,3.0,5.0,1,A,3.5,3.2,1.9,-7.0,-8.0
5138,2006-01-04,17,29,10.0,10.0,4.0,7.0,7.0,8.0,0,A,1.72,3.4,4.0,0.0,-3.0
5135,2006-01-04,2,12,4.0,13.0,1.0,4.0,2.0,8.0,1,D,8.0,4.0,1.33,-9.0,-3.0
5134,2006-01-04,0,1,20.0,9.0,16.0,4.0,8.0,8.0,2,H,1.3,4.2,8.5,11.0,12.0
5140,2006-01-04,39,23,8.0,13.0,4.0,4.0,1.0,4.0,0,A,5.5,3.5,1.53,-5.0,0.0
5139,2006-01-04,27,37,14.0,10.0,11.0,5.0,5.0,3.0,2,H,2.4,3.1,2.6,4.0,6.0
5513,2007-01-04,37,31,18.0,6.0,7.0,3.0,5.0,7.0,2,H,1.72,3.2,4.33,12.0,4.0
1438,2012-01-04,27,23,11.0,9.0,7.0,6.0,3.0,6.0,2,H,2.9,3.4,2.38,2.0,1.0
1439,2012-01-04,37,36,15.0,11.0,10.0,7.0,7.0,7.0,2,H,1.4,4.33,8.5,4.0,3.0
1817,2013-01-04,17,30,9.0,19.0,5.0,11.0,3.0,6.0,2,H,2.0,3.2,4.0,-10.0,-6.0
3314,2017-01-04,9,37,13.0,19.0,2.0,7.0,3.0,7.0,1,A,5.5,3.75,1.7,-6.0,-5.0
3319,2017-01-04,25,39,18.0,3.0,3.0,1.0,6.0,1.0,1,D,1.36,5.0,9.0,15.0,2.0
3315,2017-01-04,12,14,24.0,8.0,11.0,3.0,9.0,3.0,0,A,1.29,5.5,12.0,16.0,8.0
3316,2017-01-04,19,40,7.0,12.0,3.0,4.0,5.0,5.0,0,H,2.5,3.3,3.0,-5.0,-1.0
3317,2017-01-04,22,34,23.0,10.0,10.0,2.0,10.0,4.0,2,H,2.05,3.4,3.8,13.0,8.0
3318,2017-01-04,23,16,10.0,9.0,6.0,4.0,2.0,3.0,2,H,1.73,3.8,5.0,1.0,2.0
3320,2017-01-04,33,6,14.0,12.0,4.0,3.0,6.0,3.0,1,D,1.62,4.2,5.5,2.0,1.0
3321,2017-01-04,38,35,23.0,11.0,10.0,3.0,13.0,9.0,1,H,1.85,3.6,4.5,12.0,7.0
3724,2018-01-04,12,37,14.0,12.0,4.0,7.0,5.0,5.0,1,A,2.3,3.2,3.1,2.0,-3.0
3723,2018-01-04,0,34,24.0,8.0,11.0,2.0,6.0,5.0,1,H,1.3,5.5,10.0,16.0,9.0
4104,2019-01-04,0,27,7.0,3.0,4.0,1.0,6.0,2.0,2,H,1.36,5.0,8.5,4.0,3.0
354,2001-01-05,7,23,15.0,11.0,4.0,10.0,7.0,0.0,1,A,6.5,3.6,1.44,4.0,-6.0
355,2001-01-05,27,33,7.0,11.0,5.0,3.0,4.0,2.0,2,D,1.61,3.5,4.5,-4.0,2.0
5189,2006-01-05,25,26,17.0,10.0,6.0,6.0,10.0,2.0,1,D,1.25,5.0,8.0,7.0,0.0
5191,2006-01-05,39,40,16.0,10.0,4.0,5.0,9.0,6.0,0,A,2.15,3.4,2.75,6.0,-1.0
5190,2006-01-05,35,0,7.0,7.0,2.0,4.0,5.0,3.0,0,A,8.0,4.5,1.28,0.0,-2.0
6597,2010-01-05,24,1,17.0,10.0,12.0,6.0,13.0,5.0,2,H,1.83,3.6,4.2,7.0,6.0
6600,2010-01-05,37,5,25.0,11.0,12.0,7.0,11.0,7.0,2,H,1.25,5.5,12.0,14.0,5.0
6599,2010-01-05,34,16,12.0,11.0,6.0,9.0,6.0,5.0,1,D,3.6,3.3,2.05,1.0,-3.0
6598,2010-01-05,29,42,12.0,18.0,8.0,11.0,7.0,9.0,2,H,2.4,3.3,2.9,-6.0,-3.0
6596,2010-01-05,2,9,13.0,12.0,4.0,7.0,6.0,8.0,2,H,1.5,4.1,6.5,1.0,-3.0
1097,2011-01-05,0,25,9.0,11.0,2.0,7.0,3.0,6.0,1,H,2.45,3.25,2.9,-2.0,-5.0
1100,2011-01-05,24,40,19.0,7.0,12.0,4.0,8.0,5.0,2,H,1.4,4.75,7.5,12.0,8.0
1099,2011-01-05,23,27,9.0,7.0,5.0,3.0,3.0,12.0,2,H,1.5,4.2,6.5,2.0,2.0
1098,2011-01-05,2,42,8.0,7.0,1.0,2.0,0.0,2.0,1,D,2.15,3.25,3.5,1.0,-1.0
1488,2012-01-05,23,17,18.0,7.0,5.0,4.0,5.0,4.0,0,A,1.6,4.0,5.5,11.0,1.0
1489,2012-01-05,34,16,10.0,11.0,5.0,4.0,4.0,6.0,0,D,2.75,3.2,2.6,-1.0,1.0
3003,2016-01-05,25,22,21.0,14.0,6.0,3.0,6.0,5.0,1,D,2.15,3.1,3.6,7.0,3.0
3004,2016-01-05,33,24,14.0,6.0,7.0,5.0,8.0,2.0,2,H,2.75,3.1,2.7,8.0,2.0
3005,2016-01-05,36,23,18.0,11.0,9.0,3.0,4.0,7.0,2,H,3.1,3.1,2.4,7.0,6.0
